id,company_name,phone,gender,summary,street_address,city,state_id,zip_code,date_created,date_updated,can_send_email,custom_email_body,logo_file_name,job_family_id,spreadsheet_webhook,candidate_queue_enabled,auto_contact_enabled,short_company_name,industry_id,website_url,is_demo_account,show_candidates_for_different_job,company_description,external_contacting_enabled,contact_url,gh_account_name,gh_api_token
59,Expert QA,,,,,Philadelphia,3963,,2018-02-06 19:52:04.405606+00,2018-02-06 19:52:04.405606+00,f,,,1,,f,f,Expert QA,1,,f,f,,f,,,
2,Letitia,,,,,,,,2017-05-09 18:07:59.392095+00,2017-05-09 18:07:59.392095+00,f,,,1,,f,f,,1,,f,f,,f,,,
51,Select Rehab,,,,,West Nyack,3956,,2017-11-09 15:42:43.505466+00,2017-11-09 15:42:43.505498+00,t,,,6,,f,f,,1,,f,f,,f,,,
3,mjohnson,,,,,,,,2017-05-10 05:23:50.882266+00,2017-05-10 05:23:50.882266+00,f,,,1,,f,f,,1,,f,f,,f,,,
6,Natick VNA,617-312-9371,,,,Natick,3943,,2017-08-04 20:56:59.651733+00,2017-08-04 20:56:59.651763+00,t,,,1,,f,f,,1,,f,f,,f,,,
7,UPenn,,,,,Philadelphia,3963,,2017-08-04 21:03:48.974379+00,2017-08-04 21:03:48.974412+00,t,,,1,,f,f,,1,,f,f,,f,,,
5,BKRND,9999999999,,,,Philadelphia,3963,,2017-08-04 05:16:51.578356+00,2017-08-04 05:16:51.578382+00,t,,,1,,f,f,,1,,f,f,,f,,,
18,CareMore Anthem,515 306 3336,,,,Des Moines,3936,,2017-08-25 23:49:15.198945+00,2017-08-25 23:49:15.198973+00,t,,,1,,f,f,,1,,f,f,,f,,,
4,Pub and Kitchen,,,,,,,,2017-07-20 21:53:38.511804+00,2017-07-20 22:00:38.277697+00,t,"<p class=""MsoNormal"" style=""margin: 0px; color: #222222; font-family: arial, sans-serif; font-size: 12.8px;"">We came across your resume and were immediately impressed with your experience. We think that you would be a&nbsp;great fit for the Pub &amp; Kitchen&nbsp;team, and would like to invite you to our office for an interview. Please let&nbsp;us know if&nbsp;you&rsquo;re interested, and if so, what your availability is for the&nbsp;interview. Hope to hear from you soon!</p>
<p class=""MsoNormal"" style=""margin: 0px; color: #222222; font-family: arial, sans-serif; font-size: 12.8px;"">&nbsp;</p>
<p><img src=""https://s3.amazonaws.com/applicant-files-prod/employer_assets/e6015852ae18411d98bb8cd539058680.jpg"" style=""max-height: 150px; max-width: 150px"" /></p>
<div style=""color: #222222; font-family: arial, sans-serif; font-size: 12.8px;"">1946 Lombard Street</div>
<div style=""color: #222222; font-family: arial, sans-serif; font-size: 12.8px;"">Philadelphia, PA 19146</div>
<div style=""color: #222222; font-family: arial, sans-serif; font-size: 12.8px;""><a href=""http://www.thepubandkitchen.com"">www.thepubandkitchen.com</a></div>
<p>&nbsp;</p>",employer_assets/e6015852ae18411d98bb8cd539058680.jpg,2,https://hooks.zapier.com/hooks/catch/1021473/5np30b/,f,f,,2,,f,f,,f,,,
8,Cataract and Laser Center West,4138963967,,,,South Hadley,3943,,2017-08-15 00:13:28.729126+00,2017-08-15 00:13:28.729154+00,t,,,1,,f,f,,1,,f,f,,f,,,
9,BAYADA,,,,,"",,,2017-08-16 00:31:11.439082+00,2017-08-16 00:31:11.439114+00,t,,,1,,f,f,,1,,f,f,,f,,,
10,The Forum Group,516-270-5641,,,,New York ,3956,,2017-08-16 17:10:12.594571+00,2017-08-16 17:10:12.594602+00,t,,,1,,f,f,,1,,f,f,,f,,,
19,ManpowerGroup,2629496623,,,,Genoa City,3977,,2017-08-28 12:00:51.624288+00,2017-08-28 12:00:51.62432+00,t,,,1,,f,f,,1,,f,f,,f,,,
40,Kalispell Regional Medical Center,406-439-4607,,,,Whitefish,3949,,2017-09-21 02:09:45.662568+00,2017-09-21 02:09:45.662596+00,t,,,1,,f,f,,1,,f,f,,f,,,
52,Self-Employed,7014920423,,,,Los Angeles,3924,,2017-11-17 00:27:56.836237+00,2017-11-17 00:27:56.836264+00,t,,,1,,f,f,,1,,f,f,,f,,,
57,Angel People Placements,3234846414,,,,Los Angeles,3924,,2017-12-20 17:52:59.537944+00,2017-12-20 17:52:59.537969+00,t,,,1,,f,f,,1,,f,f,,f,,,
53,Passages Addiction Treatment Centers,4243883046,,,,Malibu,3924,,2017-11-30 10:35:54.775077+00,2017-11-30 10:35:54.775105+00,t,,,1,,f,f,,1,,f,f,,f,,,
12,bayada home care,,,,,"",,,2017-08-23 01:34:49.540879+00,2017-08-23 01:34:49.540911+00,t,,,1,,f,f,,1,,f,f,,f,,,
13,Saint Patrick Hospital,4063295850,,,,Missoula,3949,,2017-08-23 14:06:54.08571+00,2017-08-23 14:06:54.085738+00,t,,,1,,f,f,,1,,f,f,,f,,,
14,Orlando Health,321-525-6507,,,,Orlando,3930,,2017-08-24 11:42:54.279831+00,2017-08-24 11:42:54.279858+00,t,,,1,,f,f,,1,,f,f,,f,,,
15,Fortus Group,(706)951-8590,,,,Monroe,3975,,2017-08-24 21:08:46.412674+00,2017-08-24 21:08:46.412701+00,t,,,1,,f,f,,1,,f,f,,f,,,
16,"Veterans Administration Medical Center Hampton, VA",757-593-5615,,,,Poquoson,3974,,2017-08-24 23:17:41.09054+00,2017-08-24 23:17:41.090569+00,t,,,1,,f,f,,1,,f,f,,f,,,
17,Swedish Medical Center ,206-320-2812,,,,Seattle,3975,,2017-08-24 23:48:14.478181+00,2017-08-24 23:48:14.478213+00,t,,,1,,f,f,,1,,f,f,,f,,,
21,An academic healthcare organization,205-516-7482,,,,Hoover,3919,,2017-08-28 22:18:31.971027+00,2017-08-28 22:18:31.971055+00,t,,,1,,f,f,,1,,f,f,,f,,,
22,Genex Services LLC,(702) 360-3172,,,,Las Vegas,3951,,2017-08-30 02:38:42.995658+00,2017-08-30 02:38:42.995687+00,t,,,1,,f,f,,1,,f,f,,f,,,
23,Background,7275641811,,,,Safety Harbor,3930,,2017-08-31 00:24:36.309307+00,2017-08-31 00:24:36.309338+00,t,,,1,,f,f,,1,,f,f,,f,,,
24,UAB Hospital,2059307268,,,,Birmingham,3919,,2017-08-31 18:05:15.236826+00,2017-08-31 18:05:15.236854+00,t,,,1,,f,f,,1,,f,f,,f,,,
25,OSF HealthCare,309-624-4660,,,,Peoria,3934,,2017-09-01 18:00:34.9439+00,2017-09-01 18:00:34.943931+00,t,,,1,,f,f,,1,,f,f,,f,,,
26,FieldstoneCM LLC,317-646-6636,,,,Deerfield,3977,,2017-09-04 14:09:01.479236+00,2017-09-04 14:09:01.479266+00,t,,,1,,f,f,,1,,f,f,,f,,,
27,University of Washington,3603019867,,,,Seattle,3975,,2017-09-06 16:13:21.833435+00,2017-09-06 16:13:21.83346+00,t,,,1,,f,f,,1,,f,f,,f,,,
29,Providence Regional Medical Center,503 806 5198,,,,Bellevue,3975,,2017-09-08 19:08:34.769601+00,2017-09-08 19:08:34.769631+00,t,,,1,,f,f,,1,,f,f,,f,,,
28,none,6103564676,,,,broomall,3963,,2017-09-07 18:33:10.11543+00,2017-09-07 18:33:10.115459+00,f,,,1,,f,f,,1,,f,f,,f,,,
30,Self Employed,4403763954,,,,Mentor,3959,,2017-09-11 18:06:06.019257+00,2017-09-11 18:06:06.019286+00,f,,,1,,f,f,,1,,f,f,,f,,,
31,Healogics,7737326853,,,,Chicago,3934,,2017-09-11 23:20:44.24972+00,2017-09-11 23:20:44.249747+00,t,,,1,,f,f,,1,,f,f,,f,,,
32,United Health Care,8622208549,,,,STANHOPE ,3953,,2017-09-13 01:45:55.100953+00,2017-09-13 01:45:55.100984+00,t,,,1,,f,f,,1,,f,f,,f,,,
