id,job_name,date_created,date_updated,job_description,visible,parent_job_id,job_family_id,employer_id,is_waiting_to_be_scored,has_ever_been_scored,onet_position_id,accuracy,remap_order,remap_query,last_remap_date
1,Registered Nurse,2017-01-11 18:17:11.986686+00,2017-10-04 19:49:26.717609+00,"The registered nurse’s duties include but are not limited to:
Utilizing the Nursing Process in the planning and delivery of care, 
Coordinating patient care, demonstrating safe practice, developing a nurse-patient/family relationship
Applying clinical leadership and problem solving
Preparing and clarifying treatment schedules for patients
Instructing individuals, families, or other groups on topics such as health education, disease prevention, or childbirth and developing health improvement programs
Administering medications to patients and monitoring patients for reactions or side effects
Recording and monitoring patients' medical information and vital signs
Performing venipuncture and administering IV fluids
Independently collects pertinent laboratory data into the plan of care 
Complies with all regulations and standards of regulatory and accrediting bodies
Some experience with EHR and EMR medical software is a plus.  E.g. Epic Systems, MEDITECH software, eClinicalWorks, Cerner, etc
Current CPR / BLS certification is a plus

Requirements:
Graduate of an accredited school of nursing
Active state nursing license in good standing
Must be able to assume responsibility and perform assigned tasks without direct supervision",t,,1,,f,t,902,2,,,
18,Host/Hostess - Neighborhood/Gastropub,2017-06-16 15:54:35.162203+00,2017-08-25 14:41:39.104675+00,"~~~~~ This job is in a Neighborhood/Gastropub restaurant setting ~~~~~

The host/hostess responsibilities include:
- Greet incoming and departing guests warmly
- Seat guests in the bar or dining area and ensure a smooth handoff to the service staff
- Promptly answer incoming calls to the restaurant and provide appropriate service
- Manage the flow of guests into the dining and bar areas, provide accurate wait times to incoming guests where appropriate
- Tend to special guest needs and requests
- Keep a professional, personable and bright demeanor 
- Perform well under pressure in a fast-paced and possibly loud environment
- Excellent communication, phone and customer service skills 
- Highly organized, dependable and punctual",t,,2,,f,t,520,1,,,
20,Line Cook - Neighborhood/Gastropub,2017-06-16 16:18:48.096129+00,2017-08-25 14:47:42.459929+00,"~~~~~ This job is in a Neighborhood/Gastropub restaurant setting ~~~~~

The line cook's duty is to prepare food items in accordance with production requirements and established guest service and sustainability standards. The responsibilities include:

- Operate, maintain and properly clean kitchen tools and equipment
- Prepare food of consistent quality following recipes standards for production and portions
- Cook and execute dishes in cooperation the kitchen team
- Must remain calm and perform well under stressful or high volume situations
- Must work cleanly, quickly and efficiently
- Label and properly store prepared foods
- Personal hygiene, dependability, and punctuality are required",t,,2,,f,t,220,1,,,
19,Bartender - Neighborhood/Gastropub,2017-06-16 16:04:25.319927+00,2017-08-25 14:36:02.885474+00,"~~~~~ This job is in a Neighborhood/Gastropub restaurant setting ~~~~~

The bartender should demonstrate genuine hospitality and deliver exceptional guest services in the bar area. Responsibilities include:
- Mixing, garnishing and serving alcoholic and non-alcoholic drinks according to company specifications for guests at the bar and in the restaurant 
- Helping guests choose menu items, taking orders and making guests feel taken care of during their visit
- Keeping the bar stocked and clean while always providing friendly and attentive service 
- Adhering to company standards in addition to relevant local, state and federal guidelines for serving alcoholic beverages
- Handling all guest service issues in an immediate and professional manner
- Aid in moving and installing kegs, CO2 tanks and soda mixes
- Balance cash register at the end of each shift 
- Maintain clean and orderly bar and cash register
- Must have a general proficiency with computers, with the ability to process information through the POS system
- Must be a multitasking master
- Assist in training staff",t,,2,,f,t,93,1,,,
44,Physical Therapy Assistant,2017-11-20 16:20:07.114048+00,2018-07-10 07:21:53.893842+00,"The Physical Therapist Assistant will primarily provide outpatient rehabilitation services in an in-home setting for the adult and geriatric population. The in-home setting could be a patient's private residence or in a patient's room in a skilled nursing facility (SNF/), in an assisted living facility, or in an independent living facility. Duties include but not limited to:

- Attend and contributes to patient care, staffing conferences and other required meetings as a representative of physical therapy, under the direction of the physical therapist.

- Responsible for adherence to department and patient treatment schedule, timely clinical and billing documentation requirements.

- Implements patient's individualized treatment plan as established by the primary Physical Therapist.

- Help organizes and facilitates treatment groups.

- Works with other members of the rehabilitation team to implement programs and activities consistent with the needs and capabilities of each patient.

- Assistants the Physical Therapist in performing tests, evaluations, and complex procedures.

- Instructs patients, families and other caregivers in the skills and techniques of the physical therapy treatment program.

- Maintains appropriate and timely documentation for all patients treated.

- Cleans, maintains, identifies, and reports the need for repair of equipment, as necessary.

- Ensures that patients and families receive the highest quality of service in a caring and compassionate atmosphere which recognizes the individuals' needs and rights.

- Provides individualized physical therapy treatments including but not limited to:
    -  Therapeutic exercise including aerobic capacity conditioning, balance coordination, agility training, body mechanics and postural stabilization, flexibility exercises, gait training, locomotion training, neuromotor development training, relaxation, strength, power, and endurance training, functional training, manual therapy, airway clearance techniques, use of electrotherapeutic, physical agent and mechanical modalities, falls risk interventions, Chronic Disease Management Education.",t,,6,,f,t,805,0,20,"Select distinct past_job_matches.profile_id
from
( select profile_id, position_title as match_title, position_description as match_description
	from profile_experience
	left join profile on profile.id = profile_experience.profile_id
	where 
	(
		position_title like '% PTA %'
		or position_title like 'PTA %'
		or position_title like '% PTA'
		or position_title like '%/PTA %'
		or position_title like '%/PTA'
		or position_title ilike '%physical therap%ass%'
	)
		--> Make sure they are not above or below this position
	and position_title not ilike '%midwife%'
	and position_title not ilike '%tech%'
	and position_title not ilike '%intern%'
	and position_title not ilike '%case manager%'
	and position_title not ilike '%practitioner%'
	and position_title not ilike '%lpn%'
	and position_title not like '%RN%'
	and position_title not ilike '%nurse%'
	and position_title not ilike '%clinical manager%'
	and position_title not ilike '%instructor%'
) past_job_matches

inner join 

( select distinct on (profile_experience.profile_id) profile_id, position_title as current_title, position_description as current_description
from profile_experience 
order by profile_id asc, end_date desc NULLS FIRST, start_date desc NULLS LAST
) current_job
on (past_job_matches.profile_id = current_job.profile_id)

inner join profile on profile.id = past_job_matches.profile_id

where 
 current_title not ilike '%student%'
and current_title not ilike '%liaison%'
and current_title not ilike '%practitioner%'
and current_title not ilike '%nurse%'
and current_title not ilike '%midwife%'
and current_title not ilike '%tech%'
and current_title not ilike '%intern%'
and current_title not ilike '%extern%'
and current_title not ilike '%school%'
and current_title not ilike '%case manager%'
and current_title not ilike '%clinical manager%'
and current_title not ilike '%lpn%'
and current_title not ilike '%hospitalist%'
and	current_title not ilike '%lvn%'
and	current_title not like '%RN%'
and	current_title not like '%NP%'
and	current_title not ilike '%sales%'
and	current_title not ilike '%bartender%'
and	current_title not ilike 'rn %'
and	current_title not ilike '%cna%'
and	current_title not ilike '%manager%'
and	current_title not ilike '%director%'
and	current_title not ilike '%office%'
and	current_title not ilike '%massage therapist%'
and	current_title not ilike '% rn %'
",2018-07-10 07:21:53.893456+00
46,OR Registered Nurse,2018-01-09 13:28:54.82131+00,2018-01-09 13:35:38.328905+00,"The Operating Room Nurse’s duties include but are not limited to:

- Assist the physician in accomplishing the plan of care for the patient and to provide continuity between the patient care unit and the Operating Room Unit

- Provides pre and post surgical teaching and follow-up to patient/family, as well as psychological support as needed.

- Assists in helping the surgeon and anesthesiologist accomplish a plan of care for the patient.

- Recording and monitoring patients' medical information and vital signs

- Circulate cases or function as a scrub nurse as assigned.

- Monitor leads, anesthesia supplies. Prepare anesthesia equipment, circuits, gasses

- Assist with spinals, general anesthesia intubation and extubation.

- Set up and assist with injections/venipuncture, administering IV fluids, and arterial and central line placement

- Some experience with EHR and EMR medical software is a plus.  E.g. Epic Systems, Cerner, etc
",t,10,1,55,f,t,902,1,,,
47,CRNA,2018-01-09 13:36:15.485604+00,2018-01-09 13:37:14.347862+00,"The Nurse Anesthetist's job duties include but are not limited to:

- As part of the anesthesia team, the CRNA is expected to engage in accurate, ongoing patient assessments, communicate with members of the healthcare team, and use resources efficiently to deliver optimal care.

- Administer anesthetics to patients and monitor their care during surgery.

- Attend to preoperative (pre-op) evaluations and postoperative (post-op) care of patients.

- Administer epidurals, bier blocks, spinals, line placement and other blocks where appropriate.

- Perform intubations and respond to emergencies outside the operating room as required. 

- Document care thoroughly in the appropriate records.



",t,34,1,55,f,t,734,1,,,
51,"Registered Nurse - Medical Surgical ICU (SICU, MICU, MSICU)",2018-02-09 18:39:37.922684+00,2018-02-15 04:17:36.741822+00,"Duties include but are not limited to:
- Perform emergency medical procedures, such as basic life support (BLS), advanced cardiac life support (ACLS), and other condition stabilizing interventions. 
- Monitor patients following surgeries or other treatments
- Administer and titrate sedatives and paralytics
- Knowledge or familiarity with patient intubation, ventilation, extubation 
- Assess medical conditions, including acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability
- Care for patients in pre and post surgery
- Assist physicians with bedside procedures including line placements
- Document data related to patients' care including assessment results, interventions, medications, patient responses, or treatment changes.
- Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.
- Assess urgent and emergent health conditions using both physiologically and technologically derived data.
- Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships
- Interpret information obtained from electrocardiograms (EKG) or radiographs (x-ray).
- Obtain specimens or samples for laboratory work.
- Some experience with EHR and EMR medical software is a plus.  E.g. Epic Systems, MEDITECH software, eClinicalWorks, Cerner, etc
- Current  BLS / ACLS certification

Requirements:
Graduate of an accredited school of nursing
Active state nursing license in good standing
Must be able to assume responsibility and perform assigned tasks without direct supervision",t,,1,,f,t,902,1,,,
14,Nurse Practitioner - Acute Care,2017-05-23 19:50:56.584399+00,2017-10-04 20:32:01.970442+00,"The acute care nurse practitioner’s duties include but are not limited to:
Provide direct client care as well as collaborates with a licensed physician according to state guidelines 
Perform history and physical examination, order diagnostic tests and prescribe appropriate medication and treatment
Treat or refer patients for primary care conditions, such as headaches, hypertension, urinary tract infections, upper respiratory infections, and dermatological conditions
Prescribe medication dosages, routes, and frequencies based on patient characteristics such as age and gender.
Assesses vital signs, administers injections, and performs minor procedures. 
Order, perform, or interpret the results of diagnostic tests, such as complete blood counts (CBC), electrocardiograms (EKG), and radiographs (xray).
Develop treatment plans based on scientific rationale, standards of care, and professional practice guidelines.
Assists in the assessment of patients' conditions. Documents results of screenings and testing in client records. 
Educates and advises patients on pertinent health issues and helps patients manage their well-being with vaccinations and patient education
Regulates and monitors patient flow. Prepares patients for examination, sets up examination rooms, and assists healthcare providers with procedures. 
Ensure patient information, visit history, refer outs, lab follow-up, phone calls, and consults are carefully and completely documented in the EMR
Identify opportunities within local communities for development of outreach activities
Experience with EHR / EMR medical software like Epic Systems, MEDITECH software, eClinicalWorks, Cerner, etc

Requirements:
Masters of Science in Nursing MSN degree, or doctorate degree
Certified Registered Nurse Practitioner (CRNP) certification in good standing
A minimum of one year of recent, verifiable experience as an advanced practice nurse",f,,7,,f,t,736,1,,,
22,Clinical Manager - Home Health,2017-07-11 18:24:02.667585+00,2017-10-13 18:03:40.510714+00,"The Home Health Clinical Manager's responsibilities include:

- Implements and provides initial and ongoing home health clinical leadership development, training, and guidance
- Acts as a role model in mentoring and coaching clinical staff.
- Promotes sound clinical standards for clinical staff, associates and educators
- Assumes a role in ensuring consistently high quality service outcomes and program delivery
- Effective execution high quality clinical care
- Identifies patient care priorities and assigns staff accordingly
- Ensures regulatory and Community Health Accreditation Partner (CHAP) specific clinical compliance
- Manages professional development for the clinical team
- Coordinates clinical case load assignments and productivity expectations
- Provides clinical oversight to Clinical staff and Associates by observing and confirming competency with assessments and supervisory visits through home visits and documentation
- Provides clinical oversight to Clinical Educators by observing and confirming competency of trainings and in-services through classroom observation
- Maintains fiscal responsibility through budgeting
- Effective manages materials and supplies 
- Develop beneficial professional relationships with coworkers and management
- Responsible for evaluating annual competencies/benchmarks

Not required but good to have:
- OASIS-C certification


",t,,1,,f,t,656,1,,,
