id,job_id,certification_id,default_weightage,date_created,date_updated
154,34,1255,3,2017-09-23 22:19:55.713386+00,2017-09-23 22:19:55.713411+00
155,34,1739,3,2017-09-23 22:23:17.344228+00,2017-09-23 22:23:17.344258+00
157,36,728,3,2017-09-23 23:28:15.942117+00,2017-09-23 23:28:15.94214+00
174,36,1255,3,2017-09-25 19:57:39.586793+00,2017-09-25 19:57:39.586823+00
151,34,636,4,2017-09-19 22:26:21.911191+00,2017-09-19 22:26:21.911225+00
158,36,59100,4,2017-09-23 23:28:15.948448+00,2017-09-23 23:28:15.94847+00
192,34,728,4,2017-10-07 20:39:39.995396+00,2017-10-07 20:39:39.995429+00
152,34,132797,5,2017-09-23 22:19:55.697035+00,2017-09-23 22:19:55.697067+00
156,36,33206,5,2017-09-23 23:28:15.93437+00,2017-09-23 23:28:15.934402+00
159,36,1739,2,2017-09-23 23:28:15.954719+00,2017-09-23 23:28:15.954743+00
35,2,35508,5,2017-04-14 18:33:48.207492+00,2017-04-14 18:33:48.207527+00
13,5,7802,3,2017-04-06 19:31:53.662491+00,2017-04-06 19:31:53.662528+00
11,5,636,5,2017-04-06 19:21:53.988902+00,2017-04-06 19:21:53.988928+00
15,1,636,5,2017-04-06 20:53:13.970255+00,2017-04-06 20:53:13.970281+00
16,4,636,5,2017-04-06 22:03:44.114389+00,2017-04-06 22:03:44.114431+00
25,7,636,5,2017-04-07 16:09:40.18158+00,2017-04-07 16:09:40.181609+00
27,8,636,5,2017-04-07 16:56:40.873334+00,2017-04-07 16:56:40.87336+00
39,10,636,5,2017-04-25 22:41:08.161495+00,2017-04-25 22:41:08.161533+00
48,6,636,5,2017-05-25 23:17:13.932258+00,2017-05-25 23:17:13.932284+00
79,9,636,5,2017-05-31 22:48:55.198119+00,2017-05-31 22:48:55.198142+00
99,16,636,3,2017-06-01 17:06:41.249881+00,2017-06-01 17:06:41.249904+00
8,5,728,4,2017-04-06 19:21:53.966938+00,2017-04-06 19:21:53.966963+00
14,1,728,4,2017-04-06 20:53:13.963053+00,2017-04-06 20:53:13.963091+00
23,7,728,4,2017-04-07 16:09:40.160357+00,2017-04-07 16:09:40.160397+00
60,2,728,4,2017-05-30 22:44:23.186231+00,2017-05-30 22:44:23.186254+00
62,12,728,4,2017-05-30 22:55:59.917526+00,2017-05-30 22:55:59.917558+00
77,9,728,4,2017-05-31 22:48:55.189057+00,2017-05-31 22:48:55.189092+00
93,16,728,4,2017-06-01 17:06:41.192962+00,2017-06-01 17:06:41.193005+00
18,4,728,5,2017-04-06 22:03:44.138662+00,2017-04-06 22:03:44.138692+00
41,10,728,5,2017-04-25 22:41:08.171529+00,2017-04-25 22:41:08.171553+00
49,6,728,5,2017-05-25 23:17:13.93683+00,2017-05-25 23:17:13.936855+00
80,14,728,5,2017-05-31 23:09:22.846258+00,2017-05-31 23:09:22.846289+00
26,8,728,3,2017-04-07 16:56:40.865625+00,2017-04-07 16:56:40.865665+00
55,11,728,3,2017-05-30 22:39:19.606108+00,2017-05-30 22:39:19.606139+00
66,13,728,3,2017-05-30 23:10:00.869931+00,2017-05-30 23:10:00.869954+00
86,15,728,3,2017-05-31 23:23:35.69849+00,2017-05-31 23:23:35.698521+00
96,16,7802,3,2017-06-01 17:06:41.232064+00,2017-06-01 17:06:41.232089+00
4,1,1739,4,2017-04-06 18:49:45.256969+00,2017-04-06 18:49:45.257005+00
7,5,1739,4,2017-04-06 19:21:53.959011+00,2017-04-06 19:21:53.959048+00
17,4,1739,4,2017-04-06 22:03:44.131771+00,2017-04-06 22:03:44.131813+00
28,8,1739,4,2017-04-07 16:56:40.880346+00,2017-04-07 16:56:40.880373+00
59,2,1739,4,2017-05-30 22:44:23.182052+00,2017-05-30 22:44:23.182079+00
75,6,1739,4,2017-05-31 22:35:31.002306+00,2017-05-31 22:35:31.00233+00
