id,job_id,default_weightage,date_created,date_updated,skill_id,experience_months
276,8,3,2017-04-07 16:52:02.931361+00,2017-04-07 16:52:02.9314+00,243,6
280,8,1,2017-04-07 16:52:02.959117+00,2017-04-07 16:52:02.959147+00,32,12
44,2,2,2017-01-18 03:52:28.119134+00,2017-01-18 03:52:28.119157+00,79,12
59,2,3,2017-01-18 03:52:28.168293+00,2017-01-18 03:52:28.168317+00,66,6
43,2,1,2017-01-18 03:52:28.114486+00,2017-01-18 03:52:28.11451+00,211,6
41,2,3,2017-01-18 03:52:28.105758+00,2017-01-18 03:52:28.105782+00,20,12
38,2,5,2017-01-18 03:52:28.096809+00,2017-01-18 03:52:28.096833+00,150,12
1015,48,5,2018-01-29 16:57:33.383324+00,2018-01-29 16:57:33.383346+00,7535,24
1014,48,1,2018-01-29 16:57:33.379081+00,2018-01-29 16:57:33.379104+00,306,6
1012,48,3,2018-01-29 16:57:33.365587+00,2018-01-29 16:57:33.365619+00,79,12
54,2,5,2017-01-18 03:52:28.150484+00,2017-01-18 03:52:28.150507+00,52,12
61,2,5,2017-01-18 03:52:28.174031+00,2017-01-18 03:52:28.174055+00,252,12
37,2,3,2017-01-18 03:52:28.093659+00,2017-01-18 03:52:28.093682+00,3,12
9,1,2,2017-01-18 00:11:47.85495+00,2017-01-18 00:11:47.854973+00,170,12
51,2,3,2017-01-18 03:52:28.141456+00,2017-01-18 03:52:28.141493+00,114,12
18,1,3,2017-01-18 00:11:47.881508+00,2017-01-18 00:11:47.881532+00,66,6
2,2,5,2017-01-11 18:17:11.986686+00,2017-01-11 18:17:11.986686+00,2,18
396,12,4,2017-06-18 03:19:53.080112+00,2017-06-18 03:19:53.080143+00,52,12
36,2,2,2017-01-18 03:52:28.090741+00,2017-01-18 03:52:28.090764+00,13,12
311,6,3,2017-05-25 23:13:14.002099+00,2017-05-25 23:13:14.002132+00,114,12
47,2,2,2017-01-18 03:52:28.128969+00,2017-01-18 03:52:28.128992+00,116,6
45,2,3,2017-01-18 03:52:28.122704+00,2017-01-18 03:52:28.122726+00,32,6
