id,skill_name,date_created,date_updated
2,NP,2017-01-11 18:17:11.986686+00,2017-01-11 18:17:11.986686+00
3,CRITICAL CARE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
4,FORENSIC,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
5,RADIATION SAFETY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
6,PROBLEM SOLVING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
7,PAIN MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
8,INFECTION CONTROL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
9,EXCEL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
10,PDM,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
11,INTERVIEWING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
12,LONG TERM CARE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
13,CARDIOLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
14,DISCHARGE PLANNING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
15,DATABASE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
16,CLINICAL DATA MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
17,SECRETARY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
18,INSTRUCTOR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
19,CARN,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
20,CPR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
21,RETAIL MARKETING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
22,TEAM PLAYER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
23,NURSING ASSISTANT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
24,CONTENT MANAGEMENT SYSTEM,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
25,CERTIFIED NURSING ASSISTANT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
26,RISK MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
27,LEADERSHIP SKILLS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
28,OUTPATIENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
29,FEDERAL REGULATIONS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
30,MENTAL HEALTH,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
31,GERIATRIC,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
32,ICU,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
33,ORDERING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
34,NEUROLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
35,COURSE DEVELOPMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
36,CLINICAL OPERATIONS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
37,TEACHING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
38,CARDIAC LIFE SUPPORT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
39,CUSTOMER ACCOUNTS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
40,CLINICAL SUPPORT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
41,QUALITY ASSURANCE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
42,STENTS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
43,LIAISON,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
44,MEDICAL DATA ENTRY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
45,INVENTORY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
46,ONBOARDING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
47,FDA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
48,SATISFACTION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
49,UNIONIZED,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
50,SCHEDULE APPOINTMENTS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
51,PHLEBOTOMIST,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
52,RN,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
53,RECRUITMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
54,CONTENT DEVELOPMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
55,MICROSOFT WORD,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
56,CRISIS MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
57,DOCUMENTATION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
58,GENERAL OFFICE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
59,ICP,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
60,MEDICARE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
61,ACCOUNTING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
62,DATABASE SYSTEMS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
