id,degree_type_id,degree_name,degree_abbreviation
1,10,Associate of Applied Business,AAB
2,10,Associate of Applied Science,AAS
3,10,Associate of Applied Technology,AAT
4,10,Associate of Arts,AA
5,10,Associate of Arts in Teaching,AAT
6,10,Associate of Business Administration,ABA
7,10,Associate of Electrical Engineering Technology,AEET
8,10,Associate of Electronics,AE
9,10,Associate of Engineering,AE
10,10,Associate of Engineering Technology,AET
11,10,Associate of Forestry,AF
12,10,Associate of General Studies,AGS
13,10,Associate of Industrial Technology,AIT
14,10,Associate of Nursing,AN
15,10,Associate Degree in Nursing,ADN
16,10,Associate of Occupational Studies,AOS
17,10,Associate of Science,AS
18,10,Associate of Science in Computer Assisted Design,ASCAD
19,10,Associate of Technology,AT
20,12,Bachelor of Architecture,BArch
21,12,Bachelor of Arts,BA
22,12,Artium Baccalaureus,AB
23,12,Bachelor of Business,BB
24,12,Bachelor of Business Administration,BBA
25,12,Bachelor of Science in Business,BSB
26,12,Bachelor of Canon Law,BCL
27,12,Bachelor of Computer Science,BCS
28,12,Bachelor of Science in Computer Science,BSCS
29,12,Bachelor of Criminal Justice,BCJ
30,12,Bachelor of Science in Criminal Justice,BSCJ
31,12,Bachelor of Divinity,BD
32,12,Bachelor of Education,BEd
33,12,Bachelor of Science in Education,BSEd
34,12,Bachelor of Wireless Engineering,BWE
35,12,Bachelor of Engineering,BE
36,12,Bachelor of Science in Engineering,BSE
37,12,Bachelor of Science in Aerospace Engineering,BSAE
38,12,Bachelor of Science in Agricultural Engineering,BSAE
39,12,Bachelor of Science in Biological Systems,BSBS
40,12,Bachelor of Science in Biosystems and Agricultural Engineering,BSBAE
41,12,Bachelor of Science in Biological Engineering,BSBE
42,12,Bachelor of Biomedical Engineering,BBmE
43,12,Bachelor of Science in Biomedical Engineering,BSBME
44,12,Bachelor of Science in Chemical Engineering,BSChE
45,12,Bachelor of Science in Chemical and Biomolecular Engineering,BSChBE
46,12,Bachelor of Science in Chemical and Materials Engineering,BSCME
47,12,Bachelor of Civil Engineering,BCE
48,12,Bachelor of Science in Civil Engineering,BSCE
49,12,Bachelor of Science in Civil and Infrastructure Engineering,BSCIE
50,12,Bachelor of Computer Engineering,BCompE
51,12,Bachelor of Science in Computer Engineering,BSCE
52,12,Bachelor of Science in Computer Science and Engineering,BSCSE
53,12,Bachelor of Science in Electrical and Computer Engineering,BSECE
54,12,Bachelor of Electrical Engineering,BEE
55,12,Bachelor of Science in Electrical Engineering,BSEE
56,12,Bachelor of Science in Engineering Management,BSEMgt
57,12,Bachelor of Science in Environmental Engineering,BSEnE
58,12,Bachelor of Fiber Engineering,BFE
59,12,Bachelor of Science in Industrial Engineering,BSIE
60,12,Bachelor of Science in Manufacturing Engineering,BSMfgE
61,12,Bachelor of Science in Manufacturing Systems Engineering,BSMSE
62,12,Bachelor of Science in Materials Science and Engineering,BSMSE
63,12,Bachelor of Science in Materials Engineering,BSMAE
64,12,Bachelor of Mechanical Engineering,BME
65,12,Bachelor of Science in Mechanical Engineering,BSME
66,12,Bachelor of Science in Metallurgical Engineering,BSMtE
67,12,Bachelor of Science in Mining Engineering,BSMIE
68,12,Bachelor of Science in Systems,BSSYST
69,12,Bachelor of Software Enginerring,BSWE
70,12,Bachelor of Science in Software Engineering,BSSE
71,12,Bachelor of Systems Engineering,BSE
72,12,Bachelor of Science in Systems Engineering,BSSE
73,12,Bachelor of Engineering Technology,BET
