id,onet_id,alt_title,active_status
1,152,Aeronautics Commission Director,1
2,152,Agricultural Services Director,1
3,152,Alcohol and Drug Abuse Assistance Program Administrator,1
4,152,Arts and Humanities Council Director,1
5,152,Bakery Manager,1
6,152,Bank President,1
7,152,Book Publisher,1
8,152,Brokerage Office Manager,1
9,152,Bureau Chief,1
10,152,Business Development Executive,1
11,152,Business Development Officer,1
12,152,Business Enterprise Officer,1
13,152,Business Executive,1
14,152,Cemetery Manager,1
15,152,Chairman,1
16,152,Chancellor,1
17,152,Chief Administrative Officer,1
18,152,Chief Diversity Officer (CDO),1
19,152,Chief Executive Officer (CEO),1
20,152,Chief Financial Officer (CFO),1
21,152,Chief Innovation Officer,1
22,152,Chief Nursing Officer,1
23,152,Chief Operating Officer (COO),1
24,152,Chief Warden,1
25,152,City Administrator,1
26,152,City Manager,1
27,152,City Superintendent,1
28,152,City Superintendent of Schools,1
29,152,City Supervisor,1
30,152,Classification and Treatment Director,1
31,152,College President,1
32,152,Commissioner of Internal Revenue,1
33,152,Community Services and Health Education Officer,1
34,152,Compliance Director,1
35,152,Conservation of Resources Commissioner,1
36,152,Consumer Affairs Director,1
37,152,Corporate Administrator,1
38,152,Corporate Executive,1
39,152,Corporate Manager,1
40,152,Corporate Officer,1
41,152,Corporate Planner,1
42,152,Corporation Officer,1
43,152,Correctional Agency Director,1
44,152,Council On Aging Director,1
45,152,County Administrator,1
46,152,County Commissioner,1
47,152,County Superintendent of Schools,1
48,152,County Supervisor,1
49,152,Department Manager,1
50,152,Department Store Manager,1
51,152,Deputy District Customs Director,1
52,152,Deputy Insurance Commissioner,1
53,152,Director of Vital Statistics,1
54,152,District Customs Director,1
55,152,Economic Development Coordinator,1
56,152,Educational Institution President,1
57,152,Election Assistant,1
58,152,Employment Research and Planning Director,1
59,152,Employment Services Director,1
60,152,Environmental Analyst,1
61,152,Executive Administrator,1
62,152,Executive Director,1
63,152,Executive Vice President (EVP),1
64,152,Federal Aid Coordinator,1
65,152,Field Representatives Director,1
66,152,Financial Institution President,1
67,152,Financial Responsibility Division Director,1
68,152,Financial Secretary,1
69,152,Fire Chief,1
70,152,Fishery Division Chief,1
71,152,Foreign Diplomat,1
72,152,Foreign Service Officer,1
73,152,Foundation Director,1
74,152,Government Service Executive,1
75,152,Governor,1
76,152,Harbor Master,1
77,152,Health Commissioner,1
78,152,Highway Commissioner,1
79,152,Housing Management Officer,1
80,152,Institution Director,1
81,152,Insurance Commissioner,1
82,152,International Accounting User Representative,1
83,152,Irrigation Tax Assessor-Collector,1
84,152,Labor Commissioner,1
85,152,Labor Standards Director,1
86,152,Law Enforcement Director,1
87,152,Licensing and Registration Director,1
88,152,Lieutenant Governor,1
89,152,Liquor Commissioner,1
90,152,Liquor Stores and Agencies Supervisor,1
91,152,Mayor,1
92,152,Media Executive,1
93,152,Medical Facilities Section Director,1
94,152,Music Executive,1
95,152,Music Publisher,1
96,152,Newspaper Publisher,1
97,152,Nonprofit Director,1
98,152,Nonprofit Manager,1
99,152,Operations Vice President,1
100,152,Park Superintendent,1
101,152,Police Commissioner,1
102,152,Policy Advisor,1
103,152,Policy Officer,1
104,152,President,1
105,152,President of the United States,1
106,152,Private Sector Executive,1
107,152,Program Administrator,1
108,152,Program Manager,1
109,152,Public Health Director,1
110,152,Public Works Commissioner,1
111,152,Public Works Director,1
112,152,Railroad Commissioner,1
113,152,Recreation Superintendent,1
114,152,Regional Wildlife Agent,1
115,152,Regulated Program Manager,1
116,152,Regulatory Agency Director,1
117,152,Regulatory Analyst,1
118,152,Relocation Commissioner,1
119,152,Revenue Director,1
120,152,Road Commissioner,1
121,152,Roads Supervisor,1
122,152,Safety Council Director,1
123,152,Sanitation Superintendent,1
124,152,School Commissioner,1
125,152,Secretary of State,1
126,152,Software Publisher,1
127,152,State Assessed Properties Director,1
128,152,State Board of Nursing Executive Secretary,1
129,152,State Superintendent of Public Instruction,1
130,152,State Superintendent of Schools,1
131,152,Store Manager,1
132,152,Strategic Planner,1
133,152,Supervisor,1
134,152,Tax Commissioner,1
135,152,Top Executive,1
136,152,Township Supervisor,1
137,152,Traffic Safety Administrator,1
138,152,Translation Director,1
139,152,Treasurer,1
140,152,U.S. Commissioner,1
141,152,Unemployment Insurance Director,1
142,152,University President,1
143,152,Vice Chancellor,1
144,152,Vice President,1
145,152,Water Commissioner,1
146,152,Welfare Director,1
147,153,Chief Environmental Commitment Officer (CECO),1
148,153,Chief Green Officer (CGO),1
149,153,Corporate Sustainability Process Manager,1
150,153,Director of Sustainability,1
151,153,Director of Sustainability Programs,1
152,153,Director of Sustainable Design,1
153,153,Energy and Sustainability Manager,1
154,153,Environment Coordinator,1
155,153,Environmental and Sustainability Manager,1
156,153,Safety Manager,1
157,153,Stakeholder Manager,1
158,153,"Supply Chain Manager, Sustainability and Energy",1
159,153,Sustainability Coordinator,1
160,153,Sustainability Director,1
161,153,Sustainability Executive Director,1
162,153,Sustainability Manager,1
163,153,Sustainability Research and Advocacy Director,1
164,153,"Vice President, Corporate Social Responsibility and Sustainability (VP CSR and Sustainability)",1
165,462,Adjutant General,1
166,462,Adult Daycare Coordinator,1
167,462,Assistant Manager,1
168,462,Building Manager,1
169,462,Business Administrator,1
170,462,Business Coordinator,1
171,462,Business Development Director,1
172,462,Business Manager,1
173,462,Chief Administrative Officer,1
174,462,Chief Deputy,1
175,462,Corporate Administrator,1
176,462,Corporate Manager,1
177,462,Department Store General Manager,1
178,462,Department Store Manager,1
179,462,District Commercial Superintendent,1
180,462,District Plant Superintendent,1
181,462,District Traffic Chief,1
182,462,District Wire Chief,1
183,462,Division Toll Wire Chief,1
184,462,Division Traffic Superintendent,1
185,462,Drilling and Production Superintendent,1
186,462,Electrical Superintendent,1
187,462,Equipment Maintenance Superintendent,1
188,462,Executive Administrator,1
189,462,Executive Director,1
190,462,Facilities Manager,1
191,462,Facility Manager,1
192,462,Field Party Manager,1
193,462,Fish and Game Club Manager,1
194,462,Fitness Manager,1
195,462,General Manager (GM),1
196,462,General Superintendent,1
197,462,Golf Course Manager,1
198,462,Gym Manager,1
199,462,Head of Store Operations,1
200,462,Head of Visual Merchandising,1
201,462,Industrial Organization Manager,1
202,462,Installation Superintendent,1
203,462,Laundry Superintendent,1
204,462,Lease Operator,1
205,462,Line Construction Superintendent,1
206,462,Mine Administrator Supervisor,1
207,462,Mine Superintendent,1
208,462,Movie Theater Manager,1
209,462,Newspaper Manager,1
210,462,Nonprofit Director,1
211,462,Nonprofit Manager,1
212,462,Office Manager,1
213,462,Offshoring Manager,1
214,462,Oil Lease Operator,1
215,462,Oil Operator,1
216,462,Oil Producer,1
217,462,Operations Administrator,1
218,462,Operations Director,1
219,462,Operations Manager,1
220,462,Operations Supervisor,1
221,462,Operations Vice President,1
222,462,Park Superintendent,1
223,462,Parks and Recreation Manager,1
224,462,Plant Manager,1
225,462,Plant Superintendent,1
226,462,Plant Supervisor,1
686,379,Finance Director,1
227,462,Print Production Coordinator,1
228,462,Print Production Manager,1
229,462,Printing Manager,1
230,462,Prison Warden,1
231,462,Production Manager,1
232,462,Program Manager,1
233,462,Public Works Director,1
234,462,Publication Director,1
235,462,Radio Station Manager,1
236,462,Refinery Superintendent,1
237,462,Relocation Commissioner,1
238,462,Revenue Director,1
239,462,Revenue Manager,1
240,462,Roads Superintendent,1
241,462,Salon Manager,1
242,462,Shelter Director,1
243,462,Shift Superintendent,1
244,462,Shop Superintendent,1
245,462,Social Insurance Administrator,1
246,462,Solid Waste Manager,1
247,462,Sports Team Manager,1
248,462,Store Manager,1
249,462,Street Commissioner,1
250,462,Street Superintendent,1
251,462,Substation Superintendent,1
252,462,Television Station Manager,1
253,462,Theatre Manager,1
254,462,Venue Manager,1
255,462,Water and Sewer Systems Supervisor,1
256,462,Water Control Supervisor,1
257,462,Water Superintendent,1
258,462,Waterworks Supervisor,1
259,462,Zoo Director,1
260,583,Alderman,1
261,583,Assembly Member,1
262,583,Assembly Person,1
263,583,Assemblyman or Woman,1
264,583,City Alderman,1
265,583,City Council Member,1
266,583,City Councilman,1
267,583,Congressional Representative,1
268,583,Congressman,1
269,583,Council Member,1
270,583,Councilman,1
271,583,Councilor,1
272,583,Councilperson,1
273,583,Delegate,1
274,583,Legislator,1
275,583,Member of Congress,1
276,583,Representative,1
277,583,Selectman,1
278,583,Senator,1
279,583,Tribal Council Member,1
280,583,Tribal Delegate,1
281,583,U.S. Representative,1
282,583,U.S. Senator,1
283,13,Account Director,1
284,13,Account Executive,1
285,13,Account Manager,1
286,13,Account Specialist,1
287,13,Advertising Account Executive,1
288,13,Advertising Account Manager,1
289,13,Advertising Agency Manager,1
290,13,Advertising Campaign Manager,1
291,13,Advertising Coordinator,1
292,13,Advertising Director,1
293,13,Advertising Executive,1
294,13,Advertising Manager,1
295,13,Advertising Operations Manager,1
296,13,Advertising Sales Manager,1
297,13,Advertising Sales Representative,1
298,13,Advertising Vice President,1
299,13,Art Director,1
300,13,Brand Manager,1
301,13,Campaign Director,1
302,13,Campaign Manager,1
303,13,Circulation Director,1
304,13,Circulation Manager,1
305,13,Classified Advertising Manager,1
306,13,Client Services Director,1
307,13,Creative Director,1
308,13,Director of Marketing,1
309,13,Director of Sales and Marketing,1
310,13,Director of Sales Marketing,1
311,13,Head of Advertising,1
312,13,Head of Sales Promotion,1
313,13,Market Development Director,1
314,13,Marketing and Promotions Manager,1
315,13,Marketing Director,1
316,13,Marketing Manager,1
317,13,Marketing Strategist,1
318,13,Media Director,1
319,13,Media Promoter,1
320,13,Online Advertising Director,1
321,13,Print Traffic Manager,1
322,13,Promotion Manager,1
323,13,Promotions Coordinator,1
324,13,Promotions Director,1
325,13,Promotions Executive Producer (Promos Executive Producer),1
326,13,Promotions Manager,1
327,13,Promotions Producer,1
328,13,Recruitment Advertising Manager,1
329,13,Retail Advertising Sales Manager,1
330,13,Sales Manager,1
331,13,Sales Promotion Manager,1
332,482,Environmental Marketer,1
333,482,Environmental Marketing Representative,1
334,482,Green Energy Marketing Analyst,1
335,482,Green Marketer,1
336,482,Green Marketing Analyst,1
337,482,Marketing Communications Specialist,1
338,633,Account Supervisor,1
339,633,Brand Manager,1
340,633,Bridal Consultant,1
341,633,Business Developer,1
342,633,Business Development Director,1
343,633,Business Development Manager,1
344,633,Business Development Specialist,1
345,633,Channel Manager,1
346,633,Commercial Director,1
347,633,Commercial Lines Manager,1
348,633,Community Relations Director,1
349,633,Fashion Coordinator,1
350,633,Fashion Marketer,1
351,633,Head of Marketing,1
352,633,International Trade Specialist,1
353,633,Internet Marketing Manager,1
354,633,Market Analysis Director,1
355,633,Market Development Executive,1
356,633,Market Research Manager,1
357,633,Marketing Administrator,1
358,633,Marketing Agent,1
359,633,Marketing Assistant,1
360,633,Marketing Communications Specialist,1
361,633,Marketing Coordinator,1
362,633,Marketing Director,1
363,633,Marketing Executive,1
364,633,Marketing Manager,1
365,633,Marketing Officer,1
366,633,Marketing Planner,1
367,633,Marketing Sales Supervisor,1
368,633,Media Marketing Director,1
369,633,Media Planner,1
370,633,Membership Administrator,1
371,633,Membership Director,1
372,633,Pricing Analyst,1
373,633,Pricing Manager,1
374,633,Pricing Specialist,1
375,633,Product Line Manager (PLM),1
376,633,Product Manager,1
377,633,Sales and Marketing Manager,1
378,633,Sales and Marketing Vice President,1
379,633,Sales Marketing Director,1
380,633,Sales Officer,1
381,633,Sports Marketer,1
382,633,Strategic Planner,1
383,633,Strategist,1
384,633,Sustainable Products Marketing Manager,1
385,633,Trade Specialist,1
386,633,VP Marketing,1
387,633,World Trade and Maritime Division Manager,1
388,933,Area Sales Manager,1
389,933,Artist Relationship Manager,1
390,933,Auto Dealer (Automobile Dealer),1
391,933,Business Developer,1
392,933,Business Development Director,1
393,933,Business Development Executive,1
394,933,Business Development Manager,1
395,933,Business Development Officer,1
396,933,Business Development Specialist,1
397,933,Car Dealer,1
398,933,Channel Manager,1
399,933,Clothier,1
400,933,Commercial Director,1
401,933,Contracts Specialist,1
402,933,Dealership Manager,1
403,933,Department Store Manager,1
404,933,District Manager,1
405,933,District Sales Manager,1
406,933,Division Head,1
407,933,Division Manager,1
408,933,E-Commerce Director,1
409,933,Export Manager,1
410,933,Global Account Manager (GAM),1
411,933,Hotel Sales Manager,1
412,933,Import Export Manager,1
413,933,Importer Exporter,1
414,933,Inside Sales Manager,1
415,933,International Trade Specialist,1
416,933,Liquidator,1
417,933,Marketing Sales Supervisor,1
418,933,National Sales Manager,1
419,933,Product Distribution Specialist,1
420,933,Professional Equipment Sales and Service Manager,1
421,933,Regional Director,1
422,933,Regional Manager,1
423,933,Regional Sales Manager,1
424,933,Retail Chain Store Area Supervisor,1
425,933,Retail District Manager,1
426,933,Sales Account Manager,1
427,933,Sales Administrator,1
428,933,Sales and Marketing Director,1
429,933,Sales and Marketing Manager,1
430,933,Sales and Marketing Vice President,1
431,933,Sales Coordinator,1
432,933,Sales Director,1
433,933,Sales Manager,1
434,933,Sales Officer,1
435,933,Sales Promotion Manager,1
436,933,Sales Representative,1
437,933,Sales Supervisor,1
438,933,Sales Vice President,1
439,933,Store Manager,1
440,933,Territory Sales Manager,1
441,933,Utility Sales and Service Manager,1
