id,onet_id,related_onet_id,index,active_status
4,152,656,1,1
5,152,933,2,1
6,152,1074,3,1
7,152,579,4,1
8,152,866,5,1
9,152,870,6,1
10,152,403,7,1
11,152,1016,8,1
12,152,610,9,1
13,152,1060,10,1
14,462,410,1,1
15,462,404,2,1
16,462,10,3,1
17,462,603,4,1
18,462,610,5,1
19,462,455,6,1
20,462,870,7,1
21,462,429,8,1
22,462,1101,9,1
23,462,1011,10,1
24,13,867,1,1
25,13,850,2,1
26,13,633,3,1
27,13,866,4,1
28,13,61,5,1
29,13,17,6,1
30,13,223,7,1
31,13,855,8,1
32,13,665,9,1
33,13,632,10,1
34,633,866,1,1
35,633,933,2,1
36,633,632,3,1
37,633,13,4,1
38,633,621,5,1
39,633,867,6,1
40,633,870,7,1
41,633,1061,8,1
42,633,1060,9,1
43,633,524,10,1
44,933,633,1,1
45,933,403,2,1
46,933,866,3,1
47,933,1060,4,1
48,933,524,5,1
49,933,1066,6,1
50,933,379,7,1
51,933,610,8,1
52,933,936,9,1
53,933,13,10,1
54,866,633,1,1
55,866,379,2,1
56,866,13,3,1
57,866,933,4,1
58,866,17,5,1
59,866,525,6,1
60,866,867,7,1
61,866,524,8,1
62,866,223,9,1
63,866,665,10,1
64,10,404,1,1
65,10,857,2,1
66,10,849,3,1
67,10,455,4,1
68,10,1101,5,1
69,10,462,6,1
70,10,351,7,1
71,10,598,8,1
72,10,525,9,1
73,10,552,10,1
74,192,202,1,1
75,192,194,2,1
76,192,609,3,1
77,192,201,4,1
78,192,1036,5,1
79,192,544,6,1
80,192,610,7,1
81,192,608,8,1
82,192,918,9,1
83,192,980,10,1
84,1074,77,1,1
85,1074,187,2,1
86,1074,121,3,1
87,1074,918,4,1
88,1074,188,5,1
89,1074,1,6,1
90,1074,4,7,1
91,1074,375,8,1
92,1074,379,9,1
93,1074,152,10,1
94,379,866,1,1
95,379,929,2,1
96,379,930,3,1
97,379,933,4,1
98,379,633,5,1
99,379,77,6,1
100,379,403,7,1
101,379,377,8,1
102,379,525,9,1
103,379,187,10,1
104,536,410,1,1
105,536,398,2,1
106,536,407,3,1
107,536,462,4,1
108,536,429,5,1
109,536,534,6,1
110,536,836,7,1
111,536,1011,8,1
112,536,532,9,1
113,536,610,10,1
114,870,610,1,1
115,870,869,2,1
116,870,1016,3,1
117,870,1066,4,1
118,870,608,5,1
119,870,633,6,1
120,870,607,7,1
121,870,1060,8,1
122,870,462,9,1
123,870,1011,10,1
124,1066,610,1,1
125,1066,1016,2,1
126,1066,870,3,1
127,1066,869,4,1
128,1066,607,5,1
129,1066,608,6,1
130,1066,1067,7,1
131,1066,403,8,1
132,1066,1011,9,1
133,1066,462,10,1
134,1011,610,1,1
135,1011,398,2,1
136,1011,1066,3,1
137,1011,410,4,1
138,1011,608,5,1
139,1011,403,6,1
140,1011,869,7,1
141,1011,870,8,1
142,1011,1016,9,1
143,1011,607,10,1
144,610,1066,1,1
145,610,1016,2,1
146,610,870,3,1
147,610,869,4,1
148,610,608,5,1
149,610,607,6,1
150,610,1011,7,1
151,610,1067,8,1
152,610,462,9,1
153,610,609,10,1
