id,onet_id,element_id,element_name,scale_id,scale_name,data_value,active_status
1,152,2.A.1.a,Reading Comprehension,IM,Importance,4.12,1
2,152,2.A.1.a,Reading Comprehension,LV,Level,4.75,1
3,152,2.A.1.b,Active Listening,IM,Importance,4.12,1
4,152,2.A.1.b,Active Listening,LV,Level,4.88,1
5,152,2.A.1.c,Writing,IM,Importance,4,1
6,152,2.A.1.c,Writing,LV,Level,4.38,1
7,152,2.A.1.d,Speaking,IM,Importance,4.38,1
8,152,2.A.1.d,Speaking,LV,Level,4.88,1
9,152,2.A.1.e,Mathematics,IM,Importance,3.25,1
10,152,2.A.1.e,Mathematics,LV,Level,3.62,1
11,152,2.A.1.f,Science,IM,Importance,1.88,1
12,152,2.A.1.f,Science,LV,Level,1.12,1
13,152,2.A.2.a,Critical Thinking,IM,Importance,4.38,1
14,152,2.A.2.a,Critical Thinking,LV,Level,4.75,1
15,152,2.A.2.b,Active Learning,IM,Importance,4,1
16,152,2.A.2.b,Active Learning,LV,Level,4.75,1
17,152,2.A.2.c,Learning Strategies,IM,Importance,3.12,1
18,152,2.A.2.c,Learning Strategies,LV,Level,3.88,1
19,152,2.A.2.d,Monitoring,IM,Importance,4.12,1
20,152,2.A.2.d,Monitoring,LV,Level,5.5,1
21,152,2.B.1.a,Social Perceptiveness,IM,Importance,4.25,1
22,152,2.B.1.a,Social Perceptiveness,LV,Level,4.25,1
23,152,2.B.1.b,Coordination,IM,Importance,4.25,1
24,152,2.B.1.b,Coordination,LV,Level,5.12,1
25,152,2.B.1.c,Persuasion,IM,Importance,4.12,1
26,152,2.B.1.c,Persuasion,LV,Level,5,1
27,152,2.B.1.d,Negotiation,IM,Importance,4.12,1
28,152,2.B.1.d,Negotiation,LV,Level,4.62,1
29,152,2.B.1.e,Instructing,IM,Importance,3.12,1
30,152,2.B.1.e,Instructing,LV,Level,3.88,1
31,152,2.B.1.f,Service Orientation,IM,Importance,3.12,1
32,152,2.B.1.f,Service Orientation,LV,Level,3.38,1
33,152,2.B.2.i,Complex Problem Solving,IM,Importance,4.38,1
34,152,2.B.2.i,Complex Problem Solving,LV,Level,5,1
35,152,2.B.3.a,Operations Analysis,IM,Importance,3.12,1
36,152,2.B.3.a,Operations Analysis,LV,Level,4.25,1
37,152,2.B.3.b,Technology Design,IM,Importance,1.75,1
38,152,2.B.3.b,Technology Design,LV,Level,0.75,1
39,152,2.B.3.c,Equipment Selection,IM,Importance,1.12,1
40,152,2.B.3.c,Equipment Selection,LV,Level,0.62,1
41,152,2.B.3.d,Installation,IM,Importance,1,1
42,152,2.B.3.d,Installation,LV,Level,0,1
43,152,2.B.3.e,Programming,IM,Importance,1.62,1
44,152,2.B.3.e,Programming,LV,Level,0.62,1
45,152,2.B.3.g,Operation Monitoring,IM,Importance,1.88,1
46,152,2.B.3.g,Operation Monitoring,LV,Level,1.62,1
47,152,2.B.3.h,Operation and Control,IM,Importance,1.75,1
48,152,2.B.3.h,Operation and Control,LV,Level,1.5,1
49,152,2.B.3.j,Equipment Maintenance,IM,Importance,1,1
50,152,2.B.3.j,Equipment Maintenance,LV,Level,0,1
51,152,2.B.3.k,Troubleshooting,IM,Importance,1,1
52,152,2.B.3.k,Troubleshooting,LV,Level,0,1
53,152,2.B.3.l,Repairing,IM,Importance,1,1
54,152,2.B.3.l,Repairing,LV,Level,0,1
55,152,2.B.3.m,Quality Control Analysis,IM,Importance,1.75,1
56,152,2.B.3.m,Quality Control Analysis,LV,Level,1,1
57,152,2.B.4.e,Judgment and Decision Making,IM,Importance,4.5,1
58,152,2.B.4.e,Judgment and Decision Making,LV,Level,5.75,1
59,152,2.B.4.g,Systems Analysis,IM,Importance,4.12,1
60,152,2.B.4.g,Systems Analysis,LV,Level,5.38,1
61,152,2.B.4.h,Systems Evaluation,IM,Importance,4.12,1
62,152,2.B.4.h,Systems Evaluation,LV,Level,5.12,1
63,152,2.B.5.a,Time Management,IM,Importance,4,1
64,152,2.B.5.a,Time Management,LV,Level,4.75,1
65,152,2.B.5.b,Management of Financial Resources,IM,Importance,4.12,1
66,152,2.B.5.b,Management of Financial Resources,LV,Level,5.5,1
67,152,2.B.5.c,Management of Material Resources,IM,Importance,3.88,1
68,152,2.B.5.c,Management of Material Resources,LV,Level,4.75,1
69,152,2.B.5.d,Management of Personnel Resources,IM,Importance,4.25,1
70,152,2.B.5.d,Management of Personnel Resources,LV,Level,5.38,1
71,153,2.A.1.a,Reading Comprehension,IM,Importance,4,1
72,153,2.A.1.a,Reading Comprehension,LV,Level,4.25,1
73,153,2.A.1.b,Active Listening,IM,Importance,3.88,1
74,153,2.A.1.b,Active Listening,LV,Level,4.12,1
75,153,2.A.1.c,Writing,IM,Importance,3.88,1
76,153,2.A.1.c,Writing,LV,Level,4.38,1
77,153,2.A.1.d,Speaking,IM,Importance,4,1
78,153,2.A.1.d,Speaking,LV,Level,4.25,1
79,153,2.A.1.e,Mathematics,IM,Importance,2.75,1
80,153,2.A.1.e,Mathematics,LV,Level,3.38,1
81,153,2.A.1.f,Science,IM,Importance,1.75,1
82,153,2.A.1.f,Science,LV,Level,1.5,1
83,153,2.A.2.a,Critical Thinking,IM,Importance,4,1
84,153,2.A.2.a,Critical Thinking,LV,Level,4.12,1
85,153,2.A.2.b,Active Learning,IM,Importance,3.5,1
86,153,2.A.2.b,Active Learning,LV,Level,3.75,1
87,153,2.A.2.c,Learning Strategies,IM,Importance,3.38,1
88,153,2.A.2.c,Learning Strategies,LV,Level,3.5,1
89,153,2.A.2.d,Monitoring,IM,Importance,3.62,1
90,153,2.A.2.d,Monitoring,LV,Level,4.12,1
91,153,2.B.1.a,Social Perceptiveness,IM,Importance,3.75,1
92,153,2.B.1.a,Social Perceptiveness,LV,Level,3.62,1
93,153,2.B.1.b,Coordination,IM,Importance,3.62,1
94,153,2.B.1.b,Coordination,LV,Level,3.75,1
95,153,2.B.1.c,Persuasion,IM,Importance,3.62,1
96,153,2.B.1.c,Persuasion,LV,Level,3.88,1
97,153,2.B.1.d,Negotiation,IM,Importance,2.88,1
98,153,2.B.1.d,Negotiation,LV,Level,3.25,1
99,153,2.B.1.e,Instructing,IM,Importance,3.25,1
100,153,2.B.1.e,Instructing,LV,Level,3.38,1
101,153,2.B.1.f,Service Orientation,IM,Importance,3.25,1
102,153,2.B.1.f,Service Orientation,LV,Level,3.38,1
103,153,2.B.2.i,Complex Problem Solving,IM,Importance,4,1
104,153,2.B.2.i,Complex Problem Solving,LV,Level,4.25,1
105,153,2.B.3.a,Operations Analysis,IM,Importance,2.62,1
106,153,2.B.3.a,Operations Analysis,LV,Level,3.38,1
107,153,2.B.3.b,Technology Design,IM,Importance,1.62,1
108,153,2.B.3.b,Technology Design,LV,Level,1,1
109,153,2.B.3.c,Equipment Selection,IM,Importance,1.12,1
110,153,2.B.3.c,Equipment Selection,LV,Level,0.5,1
111,153,2.B.3.d,Installation,IM,Importance,1,1
112,153,2.B.3.d,Installation,LV,Level,0,1
113,153,2.B.3.e,Programming,IM,Importance,1.62,1
114,153,2.B.3.e,Programming,LV,Level,0.88,1
115,153,2.B.3.g,Operation Monitoring,IM,Importance,2.25,1
116,153,2.B.3.g,Operation Monitoring,LV,Level,2.12,1
117,153,2.B.3.h,Operation and Control,IM,Importance,1.62,1
118,153,2.B.3.h,Operation and Control,LV,Level,1.25,1
119,153,2.B.3.j,Equipment Maintenance,IM,Importance,1,1
120,153,2.B.3.j,Equipment Maintenance,LV,Level,0,1
121,153,2.B.3.k,Troubleshooting,IM,Importance,1.12,1
122,153,2.B.3.k,Troubleshooting,LV,Level,0.12,1
123,153,2.B.3.l,Repairing,IM,Importance,1,1
124,153,2.B.3.l,Repairing,LV,Level,0,1
125,153,2.B.3.m,Quality Control Analysis,IM,Importance,2.25,1
126,153,2.B.3.m,Quality Control Analysis,LV,Level,2.12,1
127,153,2.B.4.e,Judgment and Decision Making,IM,Importance,3.75,1
128,153,2.B.4.e,Judgment and Decision Making,LV,Level,3.75,1
129,153,2.B.4.g,Systems Analysis,IM,Importance,3.62,1
130,153,2.B.4.g,Systems Analysis,LV,Level,3.88,1
131,153,2.B.4.h,Systems Evaluation,IM,Importance,3.62,1
132,153,2.B.4.h,Systems Evaluation,LV,Level,3.75,1
133,153,2.B.5.a,Time Management,IM,Importance,3.38,1
134,153,2.B.5.a,Time Management,LV,Level,3.5,1
135,153,2.B.5.b,Management of Financial Resources,IM,Importance,2.62,1
136,153,2.B.5.b,Management of Financial Resources,LV,Level,3.38,1
137,153,2.B.5.c,Management of Material Resources,IM,Importance,2.38,1
138,153,2.B.5.c,Management of Material Resources,LV,Level,2.62,1
139,153,2.B.5.d,Management of Personnel Resources,IM,Importance,3.38,1
140,153,2.B.5.d,Management of Personnel Resources,LV,Level,3.75,1
141,462,2.A.1.a,Reading Comprehension,IM,Importance,3.88,1
142,462,2.A.1.a,Reading Comprehension,LV,Level,4,1
143,462,2.A.1.b,Active Listening,IM,Importance,4,1
144,462,2.A.1.b,Active Listening,LV,Level,4,1
145,462,2.A.1.c,Writing,IM,Importance,3.25,1
146,462,2.A.1.c,Writing,LV,Level,3.88,1
147,462,2.A.1.d,Speaking,IM,Importance,4,1
148,462,2.A.1.d,Speaking,LV,Level,4,1
149,462,2.A.1.e,Mathematics,IM,Importance,2.38,1
150,462,2.A.1.e,Mathematics,LV,Level,2.5,1
151,462,2.A.1.f,Science,IM,Importance,1.88,1
152,462,2.A.1.f,Science,LV,Level,1.12,1
153,462,2.A.2.a,Critical Thinking,IM,Importance,3.88,1
154,462,2.A.2.a,Critical Thinking,LV,Level,4,1
155,462,2.A.2.b,Active Learning,IM,Importance,3.5,1
156,462,2.A.2.b,Active Learning,LV,Level,3.62,1
157,462,2.A.2.c,Learning Strategies,IM,Importance,3,1
158,462,2.A.2.c,Learning Strategies,LV,Level,3.25,1
159,462,2.A.2.d,Monitoring,IM,Importance,4,1
160,462,2.A.2.d,Monitoring,LV,Level,4,1
161,462,2.B.1.a,Social Perceptiveness,IM,Importance,4,1
162,462,2.B.1.a,Social Perceptiveness,LV,Level,4,1
163,462,2.B.1.b,Coordination,IM,Importance,4,1
164,462,2.B.1.b,Coordination,LV,Level,3.88,1
165,462,2.B.1.c,Persuasion,IM,Importance,3.38,1
166,462,2.B.1.c,Persuasion,LV,Level,3.5,1
167,462,2.B.1.d,Negotiation,IM,Importance,3.62,1
168,462,2.B.1.d,Negotiation,LV,Level,3.62,1
169,462,2.B.1.e,Instructing,IM,Importance,3.12,1
170,462,2.B.1.e,Instructing,LV,Level,3.25,1
171,462,2.B.1.f,Service Orientation,IM,Importance,3.25,1
172,462,2.B.1.f,Service Orientation,LV,Level,3.12,1
173,462,2.B.2.i,Complex Problem Solving,IM,Importance,3.5,1
174,462,2.B.2.i,Complex Problem Solving,LV,Level,3.75,1
175,462,2.B.3.a,Operations Analysis,IM,Importance,2.75,1
176,462,2.B.3.a,Operations Analysis,LV,Level,3.12,1
177,462,2.B.3.b,Technology Design,IM,Importance,1.88,1
178,462,2.B.3.b,Technology Design,LV,Level,1.12,1
179,462,2.B.3.c,Equipment Selection,IM,Importance,1,1
180,462,2.B.3.c,Equipment Selection,LV,Level,0,1
181,462,2.B.3.d,Installation,IM,Importance,1,1
182,462,2.B.3.d,Installation,LV,Level,0,1
183,462,2.B.3.e,Programming,IM,Importance,1.5,1
184,462,2.B.3.e,Programming,LV,Level,0.62,1
185,462,2.B.3.g,Operation Monitoring,IM,Importance,2.75,1
186,462,2.B.3.g,Operation Monitoring,LV,Level,2.62,1
187,462,2.B.3.h,Operation and Control,IM,Importance,2,1
188,462,2.B.3.h,Operation and Control,LV,Level,1.75,1
189,462,2.B.3.j,Equipment Maintenance,IM,Importance,1,1
190,462,2.B.3.j,Equipment Maintenance,LV,Level,0,1
191,462,2.B.3.k,Troubleshooting,IM,Importance,2,1
192,462,2.B.3.k,Troubleshooting,LV,Level,1.38,1
193,462,2.B.3.l,Repairing,IM,Importance,1,1
194,462,2.B.3.l,Repairing,LV,Level,0,1
195,462,2.B.3.m,Quality Control Analysis,IM,Importance,2.38,1
