id,onet_id,element_id,element_name,scale_id,scale_name,data_value,active_status
1,152,1.C.1.a,Achievement/Effort,IM,Importance,4.55,1
2,152,1.C.1.b,Persistence,IM,Importance,4.43,1
3,152,1.C.1.c,Initiative,IM,Importance,4.75,1
4,152,1.C.2.b,Leadership,IM,Importance,4.97,1
5,152,1.C.3.a,Cooperation,IM,Importance,4.44,1
6,152,1.C.3.b,Concern for Others,IM,Importance,4.22,1
7,152,1.C.3.c,Social Orientation,IM,Importance,3.67,1
8,152,1.C.4.a,Self Control,IM,Importance,4.52,1
9,152,1.C.4.b,Stress Tolerance,IM,Importance,4.75,1
10,152,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.2,1
11,152,1.C.5.a,Dependability,IM,Importance,4.65,1
12,152,1.C.5.b,Attention to Detail,IM,Importance,4.49,1
13,152,1.C.5.c,Integrity,IM,Importance,4.8,1
14,152,1.C.6,Independence,IM,Importance,4.54,1
15,152,1.C.7.a,Innovation,IM,Importance,4.27,1
16,152,1.C.7.b,Analytical Thinking,IM,Importance,4.45,1
17,153,1.C.1.a,Achievement/Effort,IM,Importance,4.19,1
18,153,1.C.1.b,Persistence,IM,Importance,4.31,1
19,153,1.C.1.c,Initiative,IM,Importance,4.6,1
20,153,1.C.2.b,Leadership,IM,Importance,4.64,1
21,153,1.C.3.a,Cooperation,IM,Importance,4.32,1
22,153,1.C.3.b,Concern for Others,IM,Importance,3.48,1
23,153,1.C.3.c,Social Orientation,IM,Importance,3.35,1
24,153,1.C.4.a,Self Control,IM,Importance,4,1
25,153,1.C.4.b,Stress Tolerance,IM,Importance,4.08,1
26,153,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.23,1
27,153,1.C.5.a,Dependability,IM,Importance,4.23,1
28,153,1.C.5.b,Attention to Detail,IM,Importance,4.12,1
29,153,1.C.5.c,Integrity,IM,Importance,4.58,1
30,153,1.C.6,Independence,IM,Importance,4.27,1
31,153,1.C.7.a,Innovation,IM,Importance,4.38,1
32,153,1.C.7.b,Analytical Thinking,IM,Importance,4.31,1
33,462,1.C.1.a,Achievement/Effort,IM,Importance,4.18,1
34,462,1.C.1.b,Persistence,IM,Importance,4.04,1
35,462,1.C.1.c,Initiative,IM,Importance,4.35,1
36,462,1.C.2.b,Leadership,IM,Importance,4.59,1
37,462,1.C.3.a,Cooperation,IM,Importance,4.16,1
38,462,1.C.3.b,Concern for Others,IM,Importance,4.06,1
39,462,1.C.3.c,Social Orientation,IM,Importance,3.57,1
40,462,1.C.4.a,Self Control,IM,Importance,4.31,1
41,462,1.C.4.b,Stress Tolerance,IM,Importance,4.33,1
42,462,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.09,1
43,462,1.C.5.a,Dependability,IM,Importance,4.54,1
44,462,1.C.5.b,Attention to Detail,IM,Importance,4.25,1
45,462,1.C.5.c,Integrity,IM,Importance,4.3,1
46,462,1.C.6,Independence,IM,Importance,3.99,1
47,462,1.C.7.a,Innovation,IM,Importance,3.65,1
48,462,1.C.7.b,Analytical Thinking,IM,Importance,4.03,1
49,13,1.C.1.a,Achievement/Effort,IM,Importance,4.3,1
50,13,1.C.1.b,Persistence,IM,Importance,4.23,1
51,13,1.C.1.c,Initiative,IM,Importance,4.71,1
52,13,1.C.2.b,Leadership,IM,Importance,4.23,1
53,13,1.C.3.a,Cooperation,IM,Importance,4.4,1
54,13,1.C.3.b,Concern for Others,IM,Importance,3.93,1
55,13,1.C.3.c,Social Orientation,IM,Importance,3.99,1
56,13,1.C.4.a,Self Control,IM,Importance,4.42,1
57,13,1.C.4.b,Stress Tolerance,IM,Importance,4.39,1
58,13,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.54,1
59,13,1.C.5.a,Dependability,IM,Importance,4.74,1
60,13,1.C.5.b,Attention to Detail,IM,Importance,4.7,1
61,13,1.C.5.c,Integrity,IM,Importance,4.66,1
62,13,1.C.6,Independence,IM,Importance,4.08,1
63,13,1.C.7.a,Innovation,IM,Importance,4.51,1
64,13,1.C.7.b,Analytical Thinking,IM,Importance,4.16,1
65,633,1.C.1.a,Achievement/Effort,IM,Importance,4.32,1
66,633,1.C.1.b,Persistence,IM,Importance,4.23,1
67,633,1.C.1.c,Initiative,IM,Importance,4.53,1
68,633,1.C.2.b,Leadership,IM,Importance,4.37,1
69,633,1.C.3.a,Cooperation,IM,Importance,4.08,1
70,633,1.C.3.b,Concern for Others,IM,Importance,3.37,1
71,633,1.C.3.c,Social Orientation,IM,Importance,3.8,1
72,633,1.C.4.a,Self Control,IM,Importance,3.87,1
73,633,1.C.4.b,Stress Tolerance,IM,Importance,4.01,1
74,633,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.31,1
75,633,1.C.5.a,Dependability,IM,Importance,4.35,1
76,633,1.C.5.b,Attention to Detail,IM,Importance,4.32,1
77,633,1.C.5.c,Integrity,IM,Importance,4.17,1
78,633,1.C.6,Independence,IM,Importance,3.88,1
79,633,1.C.7.a,Innovation,IM,Importance,4.15,1
80,633,1.C.7.b,Analytical Thinking,IM,Importance,4,1
81,933,1.C.1.a,Achievement/Effort,IM,Importance,4.35,1
82,933,1.C.1.b,Persistence,IM,Importance,4.48,1
83,933,1.C.1.c,Initiative,IM,Importance,4.78,1
84,933,1.C.2.b,Leadership,IM,Importance,4.57,1
85,933,1.C.3.a,Cooperation,IM,Importance,4.35,1
86,933,1.C.3.b,Concern for Others,IM,Importance,3.74,1
87,933,1.C.3.c,Social Orientation,IM,Importance,3.83,1
88,933,1.C.4.a,Self Control,IM,Importance,4.3,1
89,933,1.C.4.b,Stress Tolerance,IM,Importance,4.52,1
90,933,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.57,1
91,933,1.C.5.a,Dependability,IM,Importance,4.57,1
92,933,1.C.5.b,Attention to Detail,IM,Importance,4.09,1
93,933,1.C.5.c,Integrity,IM,Importance,4.64,1
94,933,1.C.6,Independence,IM,Importance,4.3,1
95,933,1.C.7.a,Innovation,IM,Importance,4.13,1
96,933,1.C.7.b,Analytical Thinking,IM,Importance,4.14,1
97,866,1.C.1.a,Achievement/Effort,IM,Importance,4.36,1
98,866,1.C.1.b,Persistence,IM,Importance,4.3,1
99,866,1.C.1.c,Initiative,IM,Importance,4.38,1
100,866,1.C.2.b,Leadership,IM,Importance,4.33,1
101,866,1.C.3.a,Cooperation,IM,Importance,4.42,1
102,866,1.C.3.b,Concern for Others,IM,Importance,4.31,1
103,866,1.C.3.c,Social Orientation,IM,Importance,4.26,1
104,866,1.C.4.a,Self Control,IM,Importance,4.26,1
105,866,1.C.4.b,Stress Tolerance,IM,Importance,4.47,1
106,866,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.35,1
107,866,1.C.5.a,Dependability,IM,Importance,4.57,1
108,866,1.C.5.b,Attention to Detail,IM,Importance,4.62,1
109,866,1.C.5.c,Integrity,IM,Importance,4.57,1
110,866,1.C.6,Independence,IM,Importance,4.31,1
111,866,1.C.7.a,Innovation,IM,Importance,4.21,1
112,866,1.C.7.b,Analytical Thinking,IM,Importance,3.99,1
113,10,1.C.1.a,Achievement/Effort,IM,Importance,3.46,1
114,10,1.C.1.b,Persistence,IM,Importance,3.59,1
115,10,1.C.1.c,Initiative,IM,Importance,4.37,1
116,10,1.C.2.b,Leadership,IM,Importance,4,1
117,10,1.C.3.a,Cooperation,IM,Importance,4.52,1
118,10,1.C.3.b,Concern for Others,IM,Importance,4.21,1
119,10,1.C.3.c,Social Orientation,IM,Importance,3.46,1
120,10,1.C.4.a,Self Control,IM,Importance,4.37,1
121,10,1.C.4.b,Stress Tolerance,IM,Importance,4.19,1
122,10,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.27,1
123,10,1.C.5.a,Dependability,IM,Importance,4.73,1
124,10,1.C.5.b,Attention to Detail,IM,Importance,4.63,1
125,10,1.C.5.c,Integrity,IM,Importance,4.77,1
126,10,1.C.6,Independence,IM,Importance,4.49,1
127,10,1.C.7.a,Innovation,IM,Importance,3.55,1
128,10,1.C.7.b,Analytical Thinking,IM,Importance,3.48,1
129,192,1.C.1.a,Achievement/Effort,IM,Importance,3.91,1
130,192,1.C.1.b,Persistence,IM,Importance,4.03,1
131,192,1.C.1.c,Initiative,IM,Importance,4.36,1
132,192,1.C.2.b,Leadership,IM,Importance,4.15,1
133,192,1.C.3.a,Cooperation,IM,Importance,4.33,1
134,192,1.C.3.b,Concern for Others,IM,Importance,3.71,1
135,192,1.C.3.c,Social Orientation,IM,Importance,3.69,1
136,192,1.C.4.a,Self Control,IM,Importance,4.1,1
137,192,1.C.4.b,Stress Tolerance,IM,Importance,4.16,1
138,192,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.19,1
139,192,1.C.5.a,Dependability,IM,Importance,4.54,1
140,192,1.C.5.b,Attention to Detail,IM,Importance,4.67,1
141,192,1.C.5.c,Integrity,IM,Importance,4.67,1
142,192,1.C.6,Independence,IM,Importance,3.8,1
143,192,1.C.7.a,Innovation,IM,Importance,3.7,1
144,192,1.C.7.b,Analytical Thinking,IM,Importance,4.25,1
145,1074,1.C.1.a,Achievement/Effort,IM,Importance,4.3,1
146,1074,1.C.1.b,Persistence,IM,Importance,4.23,1
147,1074,1.C.1.c,Initiative,IM,Importance,4.57,1
148,1074,1.C.2.b,Leadership,IM,Importance,4.6,1
149,1074,1.C.3.a,Cooperation,IM,Importance,4.03,1
150,1074,1.C.3.b,Concern for Others,IM,Importance,3.23,1
151,1074,1.C.3.c,Social Orientation,IM,Importance,3.23,1
152,1074,1.C.4.a,Self Control,IM,Importance,4,1
153,1074,1.C.4.b,Stress Tolerance,IM,Importance,4.2,1
154,1074,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.1,1
155,1074,1.C.5.a,Dependability,IM,Importance,4.52,1
156,1074,1.C.5.b,Attention to Detail,IM,Importance,4.5,1
157,1074,1.C.5.c,Integrity,IM,Importance,4.9,1
158,1074,1.C.6,Independence,IM,Importance,4.03,1
159,1074,1.C.7.a,Innovation,IM,Importance,3.57,1
160,1074,1.C.7.b,Analytical Thinking,IM,Importance,4.63,1
161,379,1.C.1.a,Achievement/Effort,IM,Importance,4.42,1
162,379,1.C.1.b,Persistence,IM,Importance,4.42,1
163,379,1.C.1.c,Initiative,IM,Importance,4.28,1
164,379,1.C.2.b,Leadership,IM,Importance,4.4,1
165,379,1.C.3.a,Cooperation,IM,Importance,4.19,1
166,379,1.C.3.b,Concern for Others,IM,Importance,3.71,1
167,379,1.C.3.c,Social Orientation,IM,Importance,3.62,1
168,379,1.C.4.a,Self Control,IM,Importance,4.18,1
169,379,1.C.4.b,Stress Tolerance,IM,Importance,4.23,1
170,379,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.31,1
171,379,1.C.5.a,Dependability,IM,Importance,4.71,1
172,379,1.C.5.b,Attention to Detail,IM,Importance,4.64,1
173,379,1.C.5.c,Integrity,IM,Importance,4.73,1
174,379,1.C.6,Independence,IM,Importance,3.72,1
175,379,1.C.7.a,Innovation,IM,Importance,3.33,1
176,379,1.C.7.b,Analytical Thinking,IM,Importance,3.87,1
177,536,1.C.1.a,Achievement/Effort,IM,Importance,4.19,1
178,536,1.C.1.b,Persistence,IM,Importance,4.2,1
179,536,1.C.1.c,Initiative,IM,Importance,4.34,1
180,536,1.C.2.b,Leadership,IM,Importance,4.78,1
181,536,1.C.3.a,Cooperation,IM,Importance,4.39,1
182,536,1.C.3.b,Concern for Others,IM,Importance,3.85,1
183,536,1.C.3.c,Social Orientation,IM,Importance,4.04,1
184,536,1.C.4.a,Self Control,IM,Importance,4.34,1
185,536,1.C.4.b,Stress Tolerance,IM,Importance,4.54,1
